156,abc,A.Beginner,a
156,abc,B.Digits,b
156,abc,C.Rally,c
156,abc,D.Bouquet,d
156,abc,E.Roaming,e
156,abc,F.Modularness,f
155,abc,A.Poor,a
155,abc,"B.Papers,Please",b
155,abc,C.Poll,c
155,abc,D.Pairs,d
155,abc,E.Payment,e
155,abc,F.PerilsinParallel,f
154,abc,A.RemainingBalls,a
154,abc,B.Imissyou...,b
154,abc,C.DistinctorNot,c
154,abc,D.DiceinLine,d
154,abc,E.AlmostEverywhereZero,e
154,abc,F.ManyManyPaths,f
153,abc,A.ServalvsMonster,a
153,abc,B.CommonRaccoonvsMonster,b
153,abc,C.FennecvsMonster,c
153,abc,D.CaracalvsMonster,d
153,abc,E.CrestedIbisvsMonster,e
153,abc,F.SilverFoxvsMonster,f
152,abc,A.ACorWA,a
152,abc,B.ComparingStrings,b
152,abc,C.LowElements,c
152,abc,D.Handstand2,d
152,abc,E.Flatten,e
152,abc,F.TreeandConstraints,f
151,abc,A.NextAlphabet,a
151,abc,B.AchievetheGoal,b
151,abc,C.WelcometoAtCoder,c
151,abc,D.MazeMaster,d
151,abc,E.Max-MinSums,e
151,abc,F.EncloseAll,f
150,abc,A.500YenCoins,a
150,abc,B.CountABC,b
150,abc,C.CountOrder,c
150,abc,D.SemiCommonMultiple,d
150,abc,E.ChangeaLittleBit,e
150,abc,F.XorShift,f
149,abc,A.Strings,a
149,abc,B.GreedyTakahashi,b
149,abc,C.NextPrime,c
149,abc,D.PredictionandRestriction,d
149,abc,E.Handshake,e
149,abc,F.SurroundedNodes,f
148,abc,A.RoundOne,a
148,abc,B.StringswiththeSameLength,b
148,abc,C.Snack,c
148,abc,D.BrickBreak,d
148,abc,E.DoubleFactorial,e
148,abc,F.PlayingTagonTree,f
147,abc,A.Blackjack,a
147,abc,B.Palindrome-philia,b
147,abc,C.HonestOrUnkind2,c
147,abc,D.XorSum4,d
147,abc,E.BalancedPath,e
147,abc,F.SumDifference,f
146,abc,A.Can'tWaitforHoliday,a
146,abc,B.ROTN,b
146,abc,C.BuyanInteger,c
146,abc,D.ColoringEdgesonTree,d
146,abc,E.RemofSumisNum,e
146,abc,F.Sugoroku,f
145,abc,A.Circle,a
145,abc,B.Echo,b
145,abc,C.AverageLength,c
145,abc,D.Knight,d
145,abc,E.All-you-can-eat,e
145,abc,F.Laminate,f
144,abc,A.9x9,a
144,abc,B.81,b
144,abc,C.WalkonMultiplicationTable,c
144,abc,D.WaterBottle,d
144,abc,E.Gluttony,e
144,abc,F.ForkintheRoad,f
143,abc,A.Curtain,a
143,abc,B.TAKOYAKIFESTIVAL2019,b
143,abc,C.Slimes,c
143,abc,D.Triangles,d
143,abc,E.TravelbyCar,e
143,abc,F.DistinctNumbers,f
142,abc,A.OddsofOddness,a
142,abc,B.RollerCoaster,b
142,abc,C.GotoSchool,c
142,abc,D.DisjointSetofCommonDivisors,d
142,abc,E.GetEverything,e
142,abc,F.Pure,f
141,abc,A.WeatherPrediction,a
141,abc,B.TapDance,b
141,abc,C.AttackSurvival,c
141,abc,D.PowerfulDiscountTickets,d
141,abc,E.WhoSaysaPun?,e
141,abc,F.XorSum3,f
140,abc,A.Password,a
140,abc,B.Buffet,b
140,abc,C.MaximalValue,c
140,abc,D.FaceProducesUnhappiness,d
140,abc,E.SecondSum,e
140,abc,F.ManySlimes,f
139,abc,A.Tenki,a
139,abc,B.PowerSocket,b
139,abc,C.Lower,c
139,abc,D.ModSum,d
139,abc,E.League,e
139,abc,F.Engines,f
138,abc,A.RedorNot,a
138,abc,B.ResistorsinParallel,b
138,abc,C.Alchemist,c
138,abc,D.Ki,d
138,abc,E.StringsofImpurity,e
138,abc,F.Coincidence,f
137,abc,A.+-x,a
137,abc,B.OneClue,b
137,abc,C.GreenBin,c
137,abc,D.SummerVacation,d
137,abc,E.CoinsRespawn,e
137,abc,F.PolynomialConstruction,f
136,abc,A.Transfer,a
136,abc,B.UnevenNumbers,b
136,abc,C.BuildStairs,c
136,abc,D.GatheringChildren,d
136,abc,E.MaxGCD,e
136,abc,F.EnclosedPoints,f
135,abc,A.Harmony,a
135,abc,B.0or1Swap,b
135,abc,C.CitySavers,c
135,abc,D.DigitsParade,d
135,abc,E.Golf,e
135,abc,F.StringsofEternity,f
134,abc,A.Dodecagon,a
134,abc,B.GoldenApple,b
134,abc,C.ExceptionHandling,c
134,abc,D.PreparingBoxes,d
134,abc,E.SequenceDecomposing,e
134,abc,F.PermutationOddness,f
133,abc,A.TorT,a
133,abc,B.GoodDistance,b
133,abc,C.RemainderMinimization2019,c
133,abc,D.RainFlowsintoDams,d
133,abc,E.VirusTree2,e
133,abc,F.ColorfulTree,f
132,abc,A.Fifty-Fifty,a
132,abc,B.OrdinaryNumber,b
132,abc,C.DividetheProblems,c
132,abc,D.BlueandRedBalls,d
132,abc,E.HopscotchAddict,e
132,abc,F.SmallProducts,f
131,abc,A.Security,a
131,abc,B.BiteEating,b
131,abc,C.Anti-Division,c
131,abc,D.Megalomania,d
131,abc,E.Friendships,e
131,abc,F.MustBeRectangular!,f
130,abc,A.Rounding,a
130,abc,B.Bounding,b
130,abc,C.RectangleCutting,c
130,abc,D.EnoughArray,d
130,abc,E.CommonSubsequence,e
130,abc,F.MinimumBoundingBox,f
129,abc,A.Airplane,a
129,abc,B.Balance,b
129,abc,C.TypicalStairs,c
129,abc,D.Lamp,d
129,abc,E.SumEqualsXor,e
129,abc,F.Takahashi'sBasicsinEducationandLearning,f
128,abc,A.ApplePie,a
128,abc,B.Guidebook,b
128,abc,C.Switches,c
128,abc,D.equeue,d
128,abc,E.Roadwork,e
128,abc,F.FrogJump,f
127,abc,A.FerrisWheel,a
127,abc,B.Algae,b
127,abc,C.Prison,c
127,abc,D.IntegerCards,d
127,abc,E.CellDistance,e
127,abc,F.AbsoluteMinima,f
126,abc,A.ChangingaCharacter,a
126,abc,B.YYMMorMMYY,b
126,abc,C.DiceandCoin,c
126,abc,D.EvenRelation,d
126,abc,E.1or2,e
126,abc,F.XORMatching,f
125,abc,A.BiscuitGenerator,a
125,abc,B.Resale,b
125,abc,C.GCDonBlackboard,c
125,abc,D.FlippingSigns,d
124,abc,A.Buttons,a
124,abc,B.GreatOceanView,b
124,abc,C.ColoringColorfully,c
124,abc,D.Handstand,d
123,abc,A.FiveAntennas,a
123,abc,B.FiveDishes,b
123,abc,C.FiveTransportations,c
123,abc,D.Cake123,d
122,abc,A.DoubleHelix,a
122,abc,B.ATCoder,b
122,abc,C.GeTAC,c
122,abc,D.WeLikeAGC,d
121,abc,A.WhiteCells,a
121,abc,B.Canyousolvethis?,b
121,abc,C.EnergyDrinkCollector,c
121,abc,D.XORWorld,d
120,abc,A.FavoriteSound,a
120,abc,B.K-thCommonDivisor,b
120,abc,C.Unification,c
120,abc,D.DecayedBridges,d
119,abc,A.StillTBD,a
119,abc,B.DigitalGifts,b
119,abc,C.SyntheticKadomatsu,c
119,abc,D.LazyFaith,d
118,abc,A.B+/-A,a
118,abc,B.FoodsLovedbyEveryone,b
118,abc,C.MonstersBattleRoyale,c
118,abc,D.MatchMatching,d
117,abc,A.EntranceExamination,a
117,abc,B.Polygon,b
117,abc,C.Streamline,c
117,abc,D.XXOR,d
116,abc,A.RightTriangle,a
116,abc,B.CollatzProblem,b
116,abc,C.GrandGarden,c
116,abc,D.VariousSushi,d
115,abc,A.ChristmasEveEveEve,a
115,abc,B.ChristmasEveEve,b
115,abc,C.ChristmasEve,c
115,abc,D.Christmas,d
114,abc,A.753,a
114,abc,B.754,b
114,abc,C.755,c
114,abc,D.756,d
113,abc,A.DiscountFare,a
113,abc,B.Palace,b
113,abc,C.ID,c
113,abc,D.NumberofAmidakuji,d
112,abc,A.ProgrammingEducation,a
112,abc,B.TimeLimitExceeded,b
112,abc,C.Pyramid,c
112,abc,D.Partition,d
111,abc,A.AtCoderBeginnerContest999,a
111,abc,B.AtCoderBeginnerContest111,b
111,abc,C./\/\/\/,a
111,abc,D.RobotArms,b
