156,abc,A.Beginner,a,abc156_a
156,abc,B.Digits,b,abc156_b
156,abc,C.Rally,c,abc156_c
156,abc,D.Bouquet,d,abc156_d
156,abc,E.Roaming,e,abc156_e
156,abc,F.Modularness,f,abc156_f
155,abc,A.Poor,a,abc155_a
155,abc,B.Papers,Please,b,abc155_b
155,abc,C.Poll,c,abc155_c
155,abc,D.Pairs,d,abc155_d
155,abc,E.Payment,e,abc155_e
155,abc,F.PerilsinParallel,f,abc155_f
154,abc,A.RemainingBalls,a,abc154_a
154,abc,B.Imissyou...,b,abc154_b
154,abc,C.DistinctorNot,c,abc154_c
154,abc,D.DiceinLine,d,abc154_d
154,abc,E.AlmostEverywhereZero,e,abc154_e
154,abc,F.ManyManyPaths,f,abc154_f
153,abc,A.ServalvsMonster,a,abc153_a
153,abc,B.CommonRaccoonvsMonster,b,abc153_b
153,abc,C.FennecvsMonster,c,abc153_c
153,abc,D.CaracalvsMonster,d,abc153_d
153,abc,E.CrestedIbisvsMonster,e,abc153_e
153,abc,F.SilverFoxvsMonster,f,abc153_f
152,abc,A.ACorWA,a,abc152_a
152,abc,B.ComparingStrings,b,abc152_b
152,abc,C.LowElements,c,abc152_c
152,abc,D.Handstand2,d,abc152_d
152,abc,E.Flatten,e,abc152_e
152,abc,F.TreeandConstraints,f,abc152_f
151,abc,A.NextAlphabet,a,abc151_a
151,abc,B.AchievetheGoal,b,abc151_b
151,abc,C.WelcometoAtCoder,c,abc151_c
151,abc,D.MazeMaster,d,abc151_d
151,abc,E.Max-MinSums,e,abc151_e
151,abc,F.EncloseAll,f,abc151_f
150,abc,A.500YenCoins,a,abc150_a
150,abc,B.CountABC,b,abc150_b
150,abc,C.CountOrder,c,abc150_c
150,abc,D.SemiCommonMultiple,d,abc150_d
150,abc,E.ChangeaLittleBit,e,abc150_e
150,abc,F.XorShift,f,abc150_f
149,abc,A.Strings,a,abc149_a
149,abc,B.GreedyTakahashi,b,abc149_b
149,abc,C.NextPrime,c,abc149_c
149,abc,D.PredictionandRestriction,d,abc149_d
149,abc,E.Handshake,e,abc149_e
149,abc,F.SurroundedNodes,f,abc149_f
148,abc,A.RoundOne,a,abc148_a
148,abc,B.StringswiththeSameLength,b,abc148_b
148,abc,C.Snack,c,abc148_c
148,abc,D.BrickBreak,d,abc148_d
148,abc,E.DoubleFactorial,e,abc148_e
148,abc,F.PlayingTagonTree,f,abc148_f
147,abc,A.Blackjack,a,abc147_a
147,abc,B.Palindrome-philia,b,abc147_b
147,abc,C.HonestOrUnkind2,c,abc147_c
147,abc,D.XorSum4,d,abc147_d
147,abc,E.BalancedPath,e,abc147_e
147,abc,F.SumDifference,f,abc147_f
146,abc,A.Can'tWaitforHoliday,a,abc146_a
146,abc,B.ROTN,b,abc146_b
146,abc,C.BuyanInteger,c,abc146_c
146,abc,D.ColoringEdgesonTree,d,abc146_d
146,abc,E.RemofSumisNum,e,abc146_e
146,abc,F.Sugoroku,f,abc146_f
145,abc,A.Circle,a,abc145_a
145,abc,B.Echo,b,abc145_b
145,abc,C.AverageLength,c,abc145_c
145,abc,D.Knight,d,abc145_d
145,abc,E.All-you-can-eat,e,abc145_e
145,abc,F.Laminate,f,abc145_f
144,abc,A.9x9,a,abc144_a
144,abc,B.81,b,abc144_b
144,abc,C.WalkonMultiplicationTable,c,abc144_c
144,abc,D.WaterBottle,d,abc144_d
144,abc,E.Gluttony,e,abc144_e
144,abc,F.ForkintheRoad,f,abc144_f
143,abc,A.Curtain,a,abc143_a
143,abc,B.TAKOYAKIFESTIVAL2019,b,abc143_b
143,abc,C.Slimes,c,abc143_c
143,abc,D.Triangles,d,abc143_d
143,abc,E.TravelbyCar,e,abc143_e
143,abc,F.DistinctNumbers,f,abc143_f
142,abc,A.OddsofOddness,a,abc142_a
142,abc,B.RollerCoaster,b,abc142_b
142,abc,C.GotoSchool,c,abc142_c
142,abc,D.DisjointSetofCommonDivisors,d,abc142_d
142,abc,E.GetEverything,e,abc142_e
